-2.000 16.634
-1.900 15.806
-1.800 14.998
-1.700 14.210
-1.600 13.442
-1.500 12.694
-1.400 11.966
-1.300 11.258
-1.200 10.570
-1.100 9.902
-1.000 9.254
-0.900 8.626
-0.800 8.018
-0.700 7.430
-0.600 6.862
-0.500 6.314
-0.400 5.786
-0.300 5.278
-0.200 4.790
-0.100 4.322
0.000 3.874
0.100 3.446
0.200 3.038
0.300 2.650
0.400 2.282
0.500 1.934
0.600 1.606
0.700 1.298
0.800 1.010
0.900 0.742
1.000 0.494
1.100 0.266
1.200 0.058
1.300 -0.130
1.400 -0.298
1.500 -0.446
1.600 -0.574
1.700 -0.682
1.800 -0.770
1.900 -0.838
2.000 -0.885
2.100 -0.913
